Frequency (Hz)	Level (dB)
284.912109	-41.879025
285.156250	-41.487930
285.400391	-41.762234
285.644531	-42.285690
285.888672	-42.618576
286.132813	-42.955212
286.376953	-43.272663
286.621094	-43.817181
286.865234	-44.086639
287.109375	-44.290314
287.353516	-44.442150
287.597656	-43.575893
287.841797	-42.230869
288.085938	-41.192032
288.330078	-41.396942
288.574219	-42.684887
288.818359	-44.168804
289.062500	-45.128597
289.306641	-44.707962
289.550781	-43.917355
289.794922	-43.699341
290.039063	-43.617199
290.283203	-43.382442
290.527344	-42.466606
290.771484	-40.712093
291.015625	-39.474598
291.259766	-39.314087
291.503906	-39.616570
291.748047	-39.364655
291.992188	-38.061596
292.236328	-37.061459
292.480469	-37.348347
292.724609	-38.584774
292.968750	-39.367313
293.212891	-38.727711
293.457031	-38.488247
293.701172	-39.036339
293.945313	-38.796356
294.189453	-36.770943
294.433594	-35.008827
294.677734	-35.558918
294.921875	-38.236450
295.166016	-40.592453
295.410156	-41.031178
295.654297	-41.235256
295.898438	-41.708797
296.142578	-41.786255
296.386719	-40.970993
296.630859	-39.642288
296.875000	-39.089706
297.119141	-39.647427
297.363281	-40.515312
297.607422	-41.078316
297.851563	-41.250515
298.095703	-41.647385
298.339844	-42.296310
298.583984	-42.641106
298.828125	-43.084469
299.072266	-43.818382
299.316406	-44.243877
299.560547	-43.769985
299.804688	-42.768730
300.048828	-42.366581
300.292969	-42.393948
300.537109	-42.521702
300.781250	-43.007843
301.025391	-43.419945
301.269531	-42.880913
301.513672	-42.377129
301.757813	-42.696995
302.001953	-42.998371
302.246094	-42.688072
302.490234	-42.164093
302.734375	-42.165508
302.978516	-43.020271
303.222656	-43.947025
303.466797	-44.483158
303.710938	-45.005043
303.955078	-44.996067
304.199219	-44.253044
304.443359	-43.597473
304.687500	-43.759010
304.931641	-44.065102
305.175781	-43.867672
305.419922	-43.476982
305.664063	-43.302208
305.908203	-43.576736
306.152344	-44.142601
306.396484	-44.408344
306.640625	-44.048412
306.884766	-43.422935
307.128906	-42.625057
307.373047	-43.050209
307.617188	-44.161919
307.861328	-44.219414
308.105469	-43.323990
308.349609	-41.635483
